state,beer_abv
 NH,9.0
 OH,8.0
 AL,7.8
 GA,7.7
 CO,7.6
 NM,7.4
 DE,7.3
 NE,7.3
 SC,7.2
 MD,7.2
 MT,7.0
 NV,7.0
 CA,6.9
 TX,6.8
 PA,6.7
 FL,6.7
 IN,6.7
 OR,6.7
 VA,6.7
 MI,6.7
 MN,6.6
 IL,6.5
 NJ,6.5
 MA,6.5
 NY,6.5
 CT,6.4
 WA,6.3
 AZ,6.3
 WI,6.3
 NC,6.1
 MO,6.1
 ME,6.0
 VT,6.0
 IA,5.9
 WY,5.7
 ND,5.6
 KS,5.5
 OK,5.3
 RI,5.2
 LA,5.0
 UT,4.9
 TN,
